user_idx,combined_text
45,"老闆娘漂亮大方！
氣氛很好空間很美，很適合待在這發呆休息一下～
放鬆的好地方😌 … 今天到店時服務人員說厚鬆餅已經搬家到公正街包子旁邊了，沒關係還有麻糬鬆餅～這次點限定草莓口味的，口感非常好吃，沾著奶油、冰淇淋，😋
銀絲卷是烤過的，熱熱吃沾著煉乳，甜到爆表，跟我一樣是螞蟻人一定愛不釋手。
最後麵食類點個蛤蠣麵/白醬，海鮮味超級濃，一份才$220元，附飲料，味道不馬虎！超有誠意的啦 … 第一次嘗試達克瓦茲，口感很喜歡，蛋糕也好吃。下次會去內用：） 點半份的水果鬆餅，吃完後後悔了！太好吃了，下次要點整份正常份量的，附贈的冰淇淋也好吃！

附停車位很貼心！下次會再來～"
46,"1. 裝潢美，氣氛佳，設計有巧思（大門的門把）。
2. 拿鐵好喝！ 飲料四位沒有一位喝完的，水果茶喝起來很澀很酸，很夠味的“羊”奶咖啡，重點是冷氣根本不涼，室內空氣悶，無法久坐。"
47,"東西好吃，氣氛佳❤️值得推薦的好餐廳🍴 … 咖啡及蛋糕都好吃 甜點、飲料、環境、氣氛真的都是滿分！很少見的日式復古情懷，站在門口就被深深吸引，好吃又好拍！超喜歡門口角落靠窗這個位置，完全不會被其他客人打擾，也不會打擾到其他客人，早點來才可以坐到哦！ 地點位在台十一的海邊
距離花蓮市區車程大概20分鐘
離海洋公園很近！附近很多民宿 … 非常喜歡店內擺設~~~
不論牆上、樓梯間 連桌椅都很有fu 喜歡老物的人一定要來！
更重要的是連食物也很讚😍 … 店內氣氛佳，很多品項能換燕麥奶~
地點靠近車站，適合等車時避暑！
店內貓咪！無敵！ 店內空間很大很舒適
甜點很好吃！
大推巧克力蛋糕一致好評 …"
48,"竹炭鬆餅還不錯~
老闆媽很親切
一樓位置不多 雖然比超商的貴，不過有他的價值，老闆很認真的泡每一杯咖啡，推~ 蛋糕好吃
貓貓肉肉的好嚕 鬆餅的口感真的好，價位又不高，不過建議假日預約，因為好像只有老闆一個在出菜的。"
49,"每次都會帶朋友來吃
鬆餅大推特推 餐點很棒，環境很棒，貓咪很親人，我很少寫評論，但覺得評論區裡的白貓長的潦草到不行😂所以我想放一些他能看的照片。 …"
50,"喜歡店內的植栽，可愛到需要動手畫下來。

還有店內的牆壁配色，內外都有不同風情， … 真的好好吃！連我這種不愛鬆餅的人都被征服了～鬆餅怎麼如此酥香！好好吃😋 …"
51,"鬆餅好吃～很脆口跟一般的不一樣，老闆很用心！ 餐點🥘（北非烘蛋、素食炊飯）好好好好吃😊🥰🥰🥰
咖啡（義式）
花蓮很舒服的一間餐廳🥰🥰🥰愛了
值得一來🌟🌟🌟🌟 …"
52,"個人蠻喜歡鬆餅的鮮奶油，是少數不會吃了很膩的鮮奶油喔！ 十分舒適的店，適合午後來享受下午茶，店內的貓兒們非常療癒！法式吐司一份90元，但絕對值得一試！飲品的部分則多為咖啡，綴上雅緻的拉花！可從Google提供的照片先看看環境及菜單。 老闆非常親切，要休息去吃晚餐卻仍不願意趕我們走，我喝的是：轉大人，看花甲男孩轉大人後，一看見這名稱就立馬點了，絲毫沒有辜負期待，好喝且味道獨特，其他各類飲品也各有千秋，喜好咖啡的人有機會不妨去咖啡月品嚐看看！ 富有日式禪意的味道，老闆會親切地介紹咖啡的只是，店內有自製的貓咪咖啡杯，非常療癒，毛小孩也是非常溫和好親近！ 半開放的空間
伴著一首首充滿畫面的歌，十分舒服
點了一杯【黑，男子漢】 …"
53,"真的是全台灣最好吃鬆餅
九天玄女唯一指定
超喜歡老闆介紹鬆餅跟咖啡
Super super super 齁甲！ 有一隻可愛傲嬌的喵咪：） 很好喝👍🏻 …"
54,西西里咖啡+鬆餅=絕配 冰釀咖啡好喝、磅蛋糕好吃
55,我發誓這是我吃過最好吃的鬆餅 ；不會再去別家。 老闆、老闆娘都很親切，會仔細的和每一位客人介紹飲品和甜點🍮，巧克力布朗尼很好吃！ …
56,麻糬鬆餅必吃 空間舒適有特色，咖哩和蜜香紅茶都很棒
57,"用餐環境佈置相當有美感，怎麼拍怎麼好看，當然餐點也優。

PS.今天帶著canon單眼去店裡給老婆拍網美照，也給貓貓拍了，希望沒有嚇到他們。他們真的好乖，完美解了我的吸貓癮。 鬆餅很扯~扯到我會再來N次。酥到飛天"
58,很有質感的餐點 很用心的經營 鹿角蕨圍繞的空間 溫馨 非常好吃的鬆餅 咖啡飲品也處理得很用心
59,專業 單品相當好喝 真的無敵好吃，還有隱藏版的餐點，記得問老闆就可以吃到！
60,"鬆餅相當好吃
外酥內嫩 感謝闆娘贈送的肉桂捲
晚餐好吃
環境優美"
61,氣氛很好，適合朋友、情侶一起來！ 很舒服很chill ，老闆很會聊天，還會播電影供大家一起觀賞。 牛排及鬆餅真的一絕！深夜好去處
62,在花蓮的香謝大道傍，位置適適中很有文創風格，適合全家老少。 位在七星潭旁邊，很有特色，文創氣息。 鬆餅真的超級讚！！！
63,"鬆餅非常好吃 咖啡跟奶茶不錯
不過有點小杯
布丁根本沒有大家說的那麼好吃⋯"
64,好吃，但量不多，紅茶跟優格很好吃，後面還有大後花園跟洗手間 鬆餅超好吃
65,"濃郁的咖啡香配上香甜可口甜點
是值得再次品嚐咖啡小館 鬆餅很美味"
66,有可愛貓貓 好ㄔ 蜂蜜加奶油鬆餅
67,很好喝，不貴 鬆餅很強
68,品嚐咖啡好所在，離火車站近 鬆餅好吃
69,店內氣氛佳，桌椅不好坐，司康很好吃，焦糖咖啡非常淡，咖啡、焦糖味不足 老闆很熱情
70,超讚 極限好吃
71,"單品手沖嗆感及風味不錯，值得來品嚐。鬆餅加奶油也蠻特別的，大推。 咖啡風味及口感不錯, 老闆也僥倖熱情交談咖啡的大小事 每次到花蓮一定會去的地方，輕食口感及味道不錯，還有現打果汁。店內招牌貓是其特色。 咖啡好喝, 老闆也很親切！ 甜點好吃又不僥倖很甜 甜點及手沖都不錯, 二隻店貓親和力很強, 店內气氛佳 店內氣氛很不錯, 適合放鬆休憩！"
72,很好 列
73,位於七星潭旁邊的咖啡廳，生意非常好，當天侯位了半小時左右，很開心等到座位。當天其他甜點都賣完了，但很幸運還有最想吃的肉桂捲！這裡的肉桂捲是檸檬口味，上面還有一個冰淇淋，口味是比較清爽，和外面一般重口味又甜又辛辣的口味比較不一樣，喜歡清爽酸甜口味的人會喜歡。飲料非常推薦黑糖奶茶，很好喝！ 在花蓮火車站附近的咖啡廳，等火車的空檔時間想找個地方休息放鬆一下，非常適合！老闆非常親切，店裡有販賣甜點飲品及餐點，當天點了熱拿鐵及黑糖牛奶、藍莓肉桂捲，十分美味！
74,"店小小的其實一下位置就滿了，美式咖啡還沒感受到太多就喝完了。生乳酪女生應該會滿喜歡的，比較適合喜歡安靜的人。
廁所的部分真的很棒希望能持續下去。光廁所就值得給五星了。 咖啡多樣且都好喝，總共喝了三種口味。老闆的南美豆確實品質都不錯。值得專程來chill一段午後時光。"
